route,ridership,ridership_HBO
20,3442,3442
21,3499,3499
22,4746,4746
23,3367,3367
25,3764,3764
26,3620,3620
27,2132,2132
31,150,150
37,272,272
39,204,204
40,915,915
42,436,436
44,3,3
47,592,592
500,304,304
51,1124,1124
51H,723,723
52,403,403
522,5484,5484
523,2117,2117
53,1218,1218
55,1033,1033
56,2500,2500
568,594,594
57,3678,3678
59,2282,2282
60,4596,4596
61,4592,4592
64A,1370,1370
64B,1971,1971
66,4562,4562
68,3900,3900
70,2550,2550
71,1174,1174
72,1464,1464
73,1534,1534
77,1589,1589
822,146,146
824,146,146
825,73,73
827,191,191
828,60,60
83,163,163
831,118,118
84,6,6
85,14,14
86,88,88
87,174,174
89,0,0
Blue,5161,5161
Green,3277,3277
Ornge,3762,3762
