route,ridership_HBO,ridership_HBW,ridership_NHB,sum_ridership
20,3442,2854,2398,8694
21,3499,2454,3336,9289
22,4746,2813,4426,11985
23,3367,2313,2970,8650
25,3764,1746,4004,9514
26,3620,1869,4014,9503
27,2132,1016,2268,5416
31,150,65,183,398
37,272,126,306,704
39,204,102,212,518
40,915,690,878,2483
42,436,274,386,1096
44,3,2,4,9
47,592,376,546,1514
500,304,172,284,760
51,1124,596,1106,2826
51H,723,385,736,1844
52,403,258,326,987
522,5484,3225,4308,13017
523,2117,1060,2078,5255
53,1218,778,1185,3181
55,1033,665,1105,2803
56,2500,1260,2870,6630
568,594,378,488,1460
57,3678,2325,3402,9405
59,2282,2021,1520,5823
60,4596,3067,4070,11733
61,4592,2660,4228,11480
64A,1370,725,1529,3624
64B,1971,1084,2012,5067
66,4562,2959,4190,11711
68,3900,2226,3522,9648
70,2550,1294,2610,6454
71,1174,565,1152,2891
72,1464,793,1287,3544
73,1534,986,1336,3856
77,1589,983,1573,4145
822,146,100,112,358
824,146,148,78,372
825,73,64,70,207
827,191,162,98,451
828,60,91,48,199
83,163,80,184,427
831,118,107,70,295
84,6,3,6,15
85,14,6,17,37
86,88,52,108,248
87,174,147,182,503
89,0,NA,0,NA
Blue,5161,3407,3860,12428
Green,3277,2411,2288,7976
Ornge,3762,2520,3150,9432
